sys_id,property_sys_id,as_of_date,unit_type,bath_count,units_count,avg_unit_sqft,market_rent_ask_usd,effective_rent_usd,rent_per_sqft_usd,occupied_units,leased_units,concession_months,parking_premium_usd,notes,source,ingested_at,quality_flag
MIX-PROP-000007-3br,PROP-000007,2025-08-31,3br,1.5,6,1201.9,2972.86,2916.98,2.43,6,6,0.89,107.38,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000008-studio,PROP-000008,2025-08-31,studio,1.0,38,504.0,1166.94,1160.14,2.3,34,32,0.29,117.57,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000008-1br,PROP-000008,2025-08-31,1br,1.0,77,774.0,1430.37,1367.12,1.77,69,68,0.3,136.98,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000008-2br,PROP-000008,2025-08-31,2br,2.0,36,1114.6,1782.81,1734.1,1.56,32,31,0.67,109.14,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000008-3br,PROP-000008,2025-08-31,3br,2.0,12,1204.1,2167.75,2115.62,1.76,11,10,0.28,127.13,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000009-studio,PROP-000009,2025-08-31,studio,1.0,15,495.8,1927.65,1876.03,3.78,14,14,0.48,19.93,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000009-1br,PROP-000009,2025-08-31,1br,1.0,28,716.3,2169.39,2102.26,2.93,26,26,0.0,133.99,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000009-2br,PROP-000009,2025-08-31,2br,1.5,21,904.1,2475.47,2431.38,2.69,20,19,1.31,183.36,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000009-3br,PROP-000009,2025-08-31,3br,1.5,5,1325.0,2884.19,2772.22,2.09,5,5,0.89,144.33,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000010-studio,PROP-000010,2025-08-31,studio,1.0,5,507.3,1512.88,1494.07,2.95,5,4,1.17,193.93,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000010-1br,PROP-000010,2025-08-31,1br,1.0,12,876.5,1730.76,1656.59,1.89,11,11,0.9,99.67,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000010-2br,PROP-000010,2025-08-31,2br,1.5,8,914.1,2183.41,2149.07,2.35,7,7,0.0,91.33,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000010-3br,PROP-000010,2025-08-31,3br,2.0,5,1110.0,2573.82,2568.11,2.31,5,5,0.0,62.57,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000011-studio,PROP-000011,2025-08-31,studio,1.0,10,512.3,1819.88,1761.17,3.44,9,9,0.42,137.91,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000011-1br,PROP-000011,2025-08-31,1br,1.0,65,745.1,2131.23,2068.83,2.78,61,60,0.66,97.6,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000011-2br,PROP-000011,2025-08-31,2br,1.5,34,887.3,2476.79,2383.36,2.69,32,31,0.0,154.84,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000011-3br,PROP-000011,2025-08-31,3br,2.0,8,1293.7,2828.13,2707.2,2.09,7,7,0.78,141.18,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000012-studio,PROP-000012,2025-08-31,studio,1.0,4,436.8,1156.13,1132.2,2.59,4,4,0.21,86.38,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000012-1br,PROP-000012,2025-08-31,1br,1.0,17,702.3,1342.63,1315.74,1.87,16,15,0.43,129.26,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000012-2br,PROP-000012,2025-08-31,2br,1.5,8,1083.8,1761.4,1683.81,1.55,7,7,0.79,114.02,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000012-3br,PROP-000012,2025-08-31,3br,2.0,1,1244.4,2105.32,2034.34,1.63,1,1,0.16,173.35,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000013-studio,PROP-000013,2025-08-31,studio,1.0,15,475.0,1928.05,1821.08,3.83,14,14,0.8,126.66,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000013-1br,PROP-000013,2025-08-31,1br,1.0,35,846.4,2169.92,2155.11,2.55,33,33,0.58,177.5,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000013-2br,PROP-000013,2025-08-31,2br,1.5,21,929.7,2544.75,2444.6,2.63,20,19,0.63,64.21,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000013-3br,PROP-000013,2025-08-31,3br,2.0,4,1058.1,2859.61,2772.57,2.62,4,4,0.0,111.78,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000014-studio,PROP-000014,2025-08-31,studio,1.0,12,467.7,1523.97,1470.74,3.14,11,11,0.0,116.13,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000014-1br,PROP-000014,2025-08-31,1br,1.0,41,762.7,1784.2,1734.26,2.27,38,38,0.65,59.64,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000014-2br,PROP-000014,2025-08-31,2br,1.0,20,1122.3,2195.8,2094.62,1.87,19,19,1.02,76.45,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000014-3br,PROP-000014,2025-08-31,3br,1.5,8,1209.0,2551.65,2455.01,2.03,7,7,1.4,127.92,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000015-studio,PROP-000015,2025-08-31,studio,1.0,3,490.9,1135.12,1068.77,2.18,3,3,0.22,171.75,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000015-1br,PROP-000015,2025-08-31,1br,1.0,12,728.7,1425.63,1390.31,1.91,11,11,0.24,84.3,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000015-2br,PROP-000015,2025-08-31,2br,2.0,15,1170.2,1767.19,1740.98,1.49,14,14,0.64,159.45,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000016-studio,PROP-000016,2025-08-31,studio,1.0,27,517.4,1945.27,1877.38,3.63,26,25,0.31,62.19,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000016-1br,PROP-000016,2025-08-31,1br,1.0,62,806.5,2174.29,2079.13,2.58,59,58,0.34,188.59,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000016-2br,PROP-000016,2025-08-31,2br,1.5,53,904.9,2521.31,2432.35,2.69,50,49,0.79,117.83,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000016-3br,PROP-000016,2025-08-31,3br,1.5,5,1292.4,2889.57,2820.13,2.18,5,5,1.04,84.05,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000017-studio,PROP-000017,2025-08-31,studio,1.0,51,523.2,2215.27,2140.61,4.09,48,47,0.85,152.33,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000017-1br,PROP-000017,2025-08-31,1br,1.0,87,709.6,2468.4,2425.11,3.42,83,81,1.37,145.53,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000017-2br,PROP-000017,2025-08-31,2br,1.5,50,1082.0,2782.93,2716.92,2.51,48,46,0.0,91.63,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000017-3br,PROP-000017,2025-08-31,3br,2.0,8,1200.5,3145.35,3029.27,2.52,8,8,0.11,214.16,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000018-studio,PROP-000018,2025-08-31,studio,1.0,25,491.1,1625.74,1567.27,3.19,24,23,0.0,114.73,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000018-1br,PROP-000018,2025-08-31,1br,1.0,65,749.9,1820.05,1742.5,2.32,61,61,0.06,196.95,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000018-2br,PROP-000018,2025-08-31,2br,1.0,65,965.1,2132.97,2128.22,2.21,61,60,0.26,188.49,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000018-3br,PROP-000018,2025-08-31,3br,2.0,15,1178.6,2567.76,2508.23,2.13,14,14,0.86,128.2,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000019-studio,PROP-000019,2025-08-31,studio,1.0,3,476.2,1687.04,1613.46,3.39,3,3,0.69,90.14,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000019-1br,PROP-000019,2025-08-31,1br,1.0,19,875.8,2016.11,1938.64,2.21,18,18,0.65,158.0,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000019-2br,PROP-000019,2025-08-31,2br,1.0,7,961.7,2248.07,2197.2,2.28,7,6,0.67,107.9,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000019-3br,PROP-000019,2025-08-31,3br,1.0,1,1134.6,2637.73,2596.42,2.29,1,1,0.34,170.64,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000020-studio,PROP-000020,2025-08-31,studio,1.0,10,436.9,1192.65,1154.8,2.64,9,9,0.67,184.61,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000020-1br,PROP-000020,2025-08-31,1br,1.0,49,674.8,1488.3,1440.74,2.14,44,43,0.02,172.65,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000020-2br,PROP-000020,2025-08-31,2br,2.0,40,985.0,1899.27,1817.95,1.85,36,35,1.5,111.0,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000020-3br,PROP-000020,2025-08-31,3br,1.5,3,1129.6,2194.77,2105.82,1.86,3,3,0.09,163.77,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000021-studio,PROP-000021,2025-08-31,studio,1.0,16,476.1,2071.24,2014.0,4.23,15,15,0.95,99.29,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000021-1br,PROP-000021,2025-08-31,1br,1.0,35,718.4,2396.45,2354.21,3.28,34,33,0.53,120.5,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000021-2br,PROP-000021,2025-08-31,2br,2.0,40,1089.1,2695.67,2582.87,2.37,38,37,0.21,133.1,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000021-3br,PROP-000021,2025-08-31,3br,1.0,6,1263.9,3016.33,2971.61,2.35,6,6,0.54,123.63,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000022-studio,PROP-000022,2025-08-31,studio,1.0,2,531.2,2237.15,2158.08,4.06,2,2,0.24,80.06,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000022-1br,PROP-000022,2025-08-31,1br,1.0,13,649.1,2399.18,2288.9,3.53,13,12,0.7,72.37,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000022-2br,PROP-000022,2025-08-31,2br,1.0,13,1058.0,2717.97,2697.11,2.55,13,12,0.38,117.81,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000022-3br,PROP-000022,2025-08-31,3br,1.5,2,1113.7,3143.57,3019.22,2.71,2,2,0.39,155.26,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000023-studio,PROP-000023,2025-08-31,studio,1.0,33,513.2,1568.71,1525.24,2.97,30,30,0.25,133.9,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000023-1br,PROP-000023,2025-08-31,1br,1.0,100,686.1,1849.61,1798.93,2.62,91,90,0.8,108.05,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000023-2br,PROP-000023,2025-08-31,2br,1.5,102,984.5,2189.45,2106.26,2.14,93,93,0.55,52.57,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000023-3br,PROP-000023,2025-08-31,3br,1.5,16,1298.8,2502.94,2418.25,1.86,15,14,0.42,130.56,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000024-studio,PROP-000024,2025-08-31,studio,1.0,33,492.7,1959.13,1878.27,3.81,32,31,0.4,103.73,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000024-1br,PROP-000024,2025-08-31,1br,1.0,116,777.3,2118.79,2101.43,2.7,111,107,0.25,160.76,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000024-2br,PROP-000024,2025-08-31,2br,2.0,127,986.6,2455.89,2388.94,2.42,122,118,0.78,118.63,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000024-3br,PROP-000024,2025-08-31,3br,2.0,8,1420.9,2837.0,2717.79,1.91,8,7,0.81,182.24,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000025-studio,PROP-000025,2025-08-31,studio,1.0,29,523.8,2609.0,2578.74,4.92,28,27,0.14,120.99,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000025-1br,PROP-000025,2025-08-31,1br,1.0,68,793.5,2891.66,2865.69,3.61,65,63,0.02,148.79,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000025-2br,PROP-000025,2025-08-31,2br,2.0,61,1031.5,3259.13,3197.41,3.1,58,57,1.2,102.24,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000025-3br,PROP-000025,2025-08-31,3br,2.0,13,1310.8,3453.11,3453.11,2.63,12,12,0.83,111.93,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000026-studio,PROP-000026,2025-08-31,studio,1.0,13,507.0,2210.9,2166.15,4.27,12,12,0.3,103.22,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000026-1br,PROP-000026,2025-08-31,1br,1.0,17,876.7,2379.56,2330.38,2.66,16,15,0.61,105.35,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000026-2br,PROP-000026,2025-08-31,2br,2.0,21,1041.8,2776.89,2705.04,2.6,20,19,0.01,92.3,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000026-3br,PROP-000026,2025-08-31,3br,1.5,3,1342.5,3140.39,2997.53,2.23,3,3,0.57,67.59,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000027-studio,PROP-000027,2025-08-31,studio,1.0,25,421.6,1603.11,1535.4,3.64,24,23,0.67,81.37,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000027-1br,PROP-000027,2025-08-31,1br,1.0,115,739.8,1770.92,1694.0,2.29,109,105,0.79,104.42,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000027-2br,PROP-000027,2025-08-31,2br,1.5,110,1032.6,2203.99,2176.26,2.11,104,101,1.44,89.46,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000027-3br,PROP-000027,2025-08-31,3br,2.0,12,1313.9,2450.13,2387.3,1.82,11,11,0.64,21.36,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000028-studio,PROP-000028,2025-08-31,studio,1.0,10,457.5,1740.96,1683.39,3.68,9,9,0.36,105.96,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000028-1br,PROP-000028,2025-08-31,1br,1.0,53,765.3,1949.06,1905.32,2.49,49,48,0.62,135.99,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000028-2br,PROP-000028,2025-08-31,2br,1.0,61,908.7,2250.16,2122.18,2.34,56,55,0.0,139.29,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000028-3br,PROP-000028,2025-08-31,3br,1.5,2,1201.7,2549.74,2474.23,2.06,2,2,0.91,133.24,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000029-studio,PROP-000029,2025-08-31,studio,1.0,22,502.0,2749.27,2749.27,5.48,21,21,0.36,151.41,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000029-1br,PROP-000029,2025-08-31,1br,1.0,103,738.8,3082.19,2971.17,4.02,99,96,0.55,158.54,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000029-2br,PROP-000029,2025-08-31,2br,1.0,60,985.4,3362.29,3242.63,3.29,58,57,0.72,185.16,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000029-3br,PROP-000029,2025-08-31,3br,2.0,7,1139.1,3620.34,3497.42,3.07,7,7,0.47,100.02,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000030-studio,PROP-000030,2025-08-31,studio,1.0,2,529.4,1843.47,1760.24,3.32,2,2,0.92,119.9,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000030-1br,PROP-000030,2025-08-31,1br,1.0,15,696.3,2003.16,1911.51,2.75,14,13,0.43,152.28,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000030-2br,PROP-000030,2025-08-31,2br,1.0,12,1121.2,2375.5,2336.37,2.08,11,11,0.78,204.32,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000030-3br,PROP-000030,2025-08-31,3br,2.0,1,1114.8,2810.01,2788.11,2.5,1,1,0.39,74.58,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000031-studio,PROP-000031,2025-08-31,studio,1.0,19,530.0,1196.6,1131.03,2.13,17,17,0.76,173.19,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000031-1br,PROP-000031,2025-08-31,1br,1.0,37,620.0,1382.41,1367.32,2.21,33,33,0.19,128.07,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000031-2br,PROP-000031,2025-08-31,2br,2.0,46,1030.2,1766.89,1726.55,1.68,41,41,0.61,178.01,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000031-3br,PROP-000031,2025-08-31,3br,1.0,2,1050.0,2107.03,2051.61,1.95,2,2,0.15,165.33,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000032-studio,PROP-000032,2025-08-31,studio,1.0,5,515.7,1586.7,1586.7,3.08,5,5,0.78,181.82,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000032-1br,PROP-000032,2025-08-31,1br,1.0,14,758.8,1818.71,1742.07,2.3,13,13,0.51,119.27,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000032-2br,PROP-000032,2025-08-31,2br,2.0,8,894.6,2176.88,2098.89,2.35,8,7,1.64,106.3,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000032-3br,PROP-000032,2025-08-31,3br,2.0,3,1294.3,2486.61,2417.34,1.87,3,3,0.35,136.07,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000033-studio,PROP-000033,2025-08-31,studio,1.0,23,561.3,1623.08,1581.21,2.82,22,21,0.0,113.07,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000033-1br,PROP-000033,2025-08-31,1br,1.0,63,654.6,1734.87,1692.05,2.58,59,57,0.0,114.91,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000033-2br,PROP-000033,2025-08-31,2br,2.0,62,883.9,2201.52,2161.1,2.44,58,57,0.26,101.66,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000033-3br,PROP-000033,2025-08-31,3br,1.5,4,1312.7,2515.03,2449.09,1.87,4,4,0.39,208.97,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000034-studio,PROP-000034,2025-08-31,studio,1.0,16,510.7,1715.38,1667.17,3.26,15,15,0.61,197.18,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000034-1br,PROP-000034,2025-08-31,1br,1.0,92,797.6,1932.72,1835.8,2.3,86,83,0.79,44.54,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000034-2br,PROP-000034,2025-08-31,2br,1.0,60,1105.9,2334.1,2268.54,2.05,56,55,0.74,114.81,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000034-3br,PROP-000034,2025-08-31,3br,1.5,12,1318.6,2610.01,2475.44,1.88,11,11,1.09,225.67,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000035-studio,PROP-000035,2025-08-31,studio,1.0,4,489.5,2389.15,2300.87,4.7,4,4,0.49,138.81,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
MIX-PROP-000035-1br,PROP-000035,2025-08-31,1br,1.0,11,774.1,2568.9,2460.17,3.18,10,10,0.34,149.44,,GOTHAM_SYNTHETIC,2025-09-27T18:57:54,passed
