sys_id,property_external_id,property_name,address_line1,address_line2,city,state,zip,country,latitude,longitude,geocoding_precision,census_tract,block_group,cbsa_code,submarket_name,property_type,mf_product_type,property_class,status,year_built,year_renovated,num_buildings,num_stories,num_units,gross_building_area_sqft,net_rentable_area_sqft,avg_unit_size_sqft,land_area_acres,parking_stalls,parking_ratio_per_unit,elevators,construction_start_date,delivery_date,stabilization_date,zoning_code,zoning_desc,fema_flood_zone,electric_payer,gas_payer,water_payer,sewer_payer,trash_payer,energy_star_score,leed_level,owner_name,owner_type,manager_name,manager_phone,manager_email,website_url,last_appraised_value_usd,last_appraised_date,assessed_value_land_usd,assessed_value_improvement_usd,assessed_tax_year,tax_parcel_id,source,as_of_date,ingested_at,quality_flag,notes
PROP-000011,GOTHAM-20111-68800,GOTHAM COMMONS 11,1712 MAPLE ST,,GOTHAM,VA,20111,USA,38.942733,-77.17853,rooftop,155396,3,47900,GOTHAM - RIVER NORTH,multifamily,garden,B,planned,2018,,2,2,117,108641,94068,804,5.16,164,1.4,0,6/30/24,,,C-MU,RESIDENTIAL MIXED-USE,X,tenant,owner,rubs,owner,mixed,48,silver,GVA PARTNERS,REIT,Quinn Ellis,703-763-2604,quinn.ellis@gothammgmt.com,https://gva-apts.example.com/11,25164872,8/31/25,3774731,21390141,2025,GP-767-666847,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000012,GOTHAM-20108-31579,GOTHAM TOWERS 12,341 LAKE AVE,,GOTHAM,VA,20108,USA,38.857569,-77.291241,rooftop,100382,7,47900,GOTHAM - SOUTH SIDE,multifamily,student,C,existing,2014,2022,9,2,30,26869,23601,786.7,0.73,25,0.85,3,,,,RMU,COMMERCIAL MIXED USE,AE,owner,mixed,owner,owner,rubs,71,gold,ATLANTIC PARTNERS,HNW_INDIVIDUAL,Cameron Harper,703-769-8973,cameron.harper@gothamprops.com,https://atlantic-apts.example.com/12,1418511,8/31/25,212777,1205734,2025,GP-294-411120,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000013,GOTHAM-20118-75909,GOTHAM SQUARE 13,3666 VALLEY ST,,GOTHAM,VA,20118,USA,38.904498,-77.232211,rooftop,120735,1,47900,GOTHAM - DOWNTOWN,multifamily,garden,B,existing,1985,2001,1,2,75,62882,60502,806.7,2.36,94,1.26,0,,,,PUD,RESIDENTIAL MULTIFAMILY,X,tenant,tenant,owner,owner,owner,71,none,GOTHAM HOLDINGS,FAMILY_OFFICE,Hayden Holland,703-440-7615,hayden.holland@gothammgmt.com,https://gotham-apts.example.com/13,14819433,8/31/25,2222915,12596518,2025,GP-683-358175,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000014,GOTHAM-20103-97782,GOTHAM GARDENS 14,9585 HILL ST,,GOTHAM,VA,20103,USA,38.892104,-77.201512,rooftop,141280,4,47900,GOTHAM - EAST MARKET,multifamily,garden,B,existing,1997,,4,4,81,75253,69004,851.9,2.62,71,0.88,0,,,,RMU,COMMERCIAL MIXED USE,X,owner,tenant,tenant,owner,owner,,none,RIDGEMONT REALTY,DEVELOPER,Avery Reeves,703-523-2188,avery.reeves@gothammgmt.com,https://ridgemont-apts.example.com/14,10495402,8/31/25,1574310,8921092,2025,GP-569-751332,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000015,GOTHAM-20118-58434,GOTHAM FLATS 15,9324 OAK AVE,,GOTHAM,VA,20118,USA,38.869454,-77.277336,rooftop,120776,8,47900,GOTHAM - SOUTH SIDE,multifamily,garden,C,existing,2025,,11,2,30,29782,27771,925.7,0.72,25,0.83,0,,,,PUD,PLANNED UNIT DEVELOPMENT,0.2PCT,tenant,owner,owner,owner,owner,,silver,GVA REALTY,FAMILY_OFFICE,Jordan Morgan,703-741-1128,jordan.morgan@gothamre.com,https://gva-apts.example.com/15,1495231,8/31/25,224285,1270946,2025,GP-779-208618,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000016,GOTHAM-20104-54942,GOTHAM COMMONS 16,2300 CRESCENT LN,,GOTHAM,VA,20104,USA,38.909405,-77.339982,rooftop,190211,5,47900,GOTHAM - WEST END,multifamily,mid-rise,B,existing,2015,,2,7,147,137056,118394,805.4,3.87,204,1.39,4,,,,PUD,COMMERCIAL MIXED USE,AE,owner,rubs,rubs,owner,owner,,silver,CITYLINE REALTY,PE,Skyler Reeves,703-294-7939,skyler.reeves@gothamre.com,https://cityline-apts.example.com/16,29640358,8/31/25,4446054,25194304,2025,GP-145-103717,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000017,GOTHAM-20109-24663,GOTHAM APARTMENTS 17,5564 WILLOW BLVD,,GOTHAM,VA,20109,USA,38.92281,-77.186227,rooftop,190673,3,47900,GOTHAM - RIVER NORTH,multifamily,garden,A,existing,1987,1999,7,4,196,162913,152116,776.1,6.03,278,1.42,0,,,,PUD,RESIDENTIAL MULTIFAMILY,AE,rubs,mixed,owner,owner,rubs,,none,RIDGEMONT PROPERTIES,HNW_INDIVIDUAL,Emerson Bennett,703-330-1685,emerson.bennett@gothamre.com,https://ridgemont-apts.example.com/17,58531432,8/31/25,8779715,49751717,2025,GP-473-934794,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000018,GOTHAM-20108-41029,GOTHAM COMMONS 18,753 MADISON DR,,GOTHAM,VA,20108,USA,38.852899,-77.305341,rooftop,123306,7,47900,GOTHAM - SOUTH SIDE,multifamily,mid-rise,B,existing,2007,,1,4,170,150265,141440,832,6.08,271,1.59,2,,,,RMF-1,RESIDENTIAL MIXED-USE,0.2PCT,mixed,owner,owner,owner,owner,,silver,RIDGEMONT PROPERTIES,FAMILY_OFFICE,Skyler Wright,703-621-5065,skyler.wright@gothamre.com,https://ridgemont-apts.example.com/18,28867745,8/31/25,4330162,24537583,2025,GP-263-925622,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000019,GOTHAM-20116-13101,GOTHAM GARDENS 19,1871 PINE WAY,,GOTHAM,VA,20116,USA,38.86994,-77.212142,rooftop,125413,7,47900,GOTHAM - EAST MARKET,multifamily,mid-rise,B,existing,1986,2000,1,9,30,29860,25935,864.5,1.24,38,1.28,3,,,,RMU,PLANNED UNIT DEVELOPMENT,X,rubs,rubs,owner,owner,mixed,,none,CITYLINE REALTY,HNW_INDIVIDUAL,Reese Morgan,703-856-9346,reese.morgan@cityaptco.com,https://cityline-apts.example.com/19,4165318,8/31/25,624798,3540520,2025,GP-795-984642,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000020,GOTHAM-20104-88193,GOTHAM TOWERS 20,8885 RIVER DR,,GOTHAM,VA,20104,USA,38.891544,-77.204774,rooftop,145409,6,47900,GOTHAM - EAST MARKET,multifamily,high-rise,D,existing,1985,,2,19,102,89287,80223,786.5,4.45,122,1.19,4,,,,C-MU,RESIDENTIAL MULTIFAMILY,AE,tenant,tenant,owner,rubs,rubs,,none,GVA REALTY,FAMILY_OFFICE,Taylor Carter,703-245-8144,taylor.carter@gothammgmt.com,https://gva-apts.example.com/20,5918301,8/31/25,887745,5030556,2025,GP-632-945687,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000021,GOTHAM-20114-76469,GOTHAM FLATS 21,8921 FOUNTAIN RD,,GOTHAM,VA,20114,USA,38.877113,-77.205397,rooftop,187510,7,47900,GOTHAM - EAST MARKET,multifamily,mid-rise,A,existing,1971,1996,2,6,97,101155,83905,865,4.92,89,0.92,2,,,,RMU,COMMERCIAL MIXED USE,0.2PCT,mixed,owner,owner,rubs,tenant,58,none,RIDGEMONT REALTY,FAMILY_OFFICE,Morgan Blake,703-630-7211,morgan.blake@gothamprops.com,https://ridgemont-apts.example.com/21,24351282,8/31/25,3652692,20698590,2025,GP-730-696750,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000022,GOTHAM-20101-67954,GOTHAM GARDENS 22,5030 RIDGE WAY,,GOTHAM,VA,20101,USA,38.931898,-77.348083,rooftop,128110,9,47900,GOTHAM - WEST END,multifamily,garden,A,existing,2020,2020,8,3,30,26932,25482,849.4,0.85,44,1.48,0,,,,C-MU,RESIDENTIAL MIXED-USE,0.2PCT,rubs,tenant,owner,owner,rubs,68,none,ATLANTIC REALTY,PE,Parker Keller,703-848-6491,parker.keller@gothammgmt.com,https://atlantic-apts.example.com/22,8613079,8/31/25,1291962,7321117,2025,GP-938-887625,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000023,GOTHAM-20107-69692,GOTHAM TOWERS 23,3948 HARBOR LN,,GOTHAM,VA,20107,USA,38.913724,-77.256778,rooftop,182644,4,47900,GOTHAM - DOWNTOWN,multifamily,garden,C,existing,2004,2015,6,3,251,222060,206749,823.7,7.2,166,0.66,0,,,,C-MU,COMMERCIAL MIXED USE,AE,tenant,tenant,owner,owner,rubs,62,none,GVA PROPERTIES,REIT,Skyler Sloane,703-205-2746,skyler.sloane@cityaptco.com,https://gva-apts.example.com/23,28938551,8/31/25,4340783,24597768,2025,GP-324-284430,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000024,GOTHAM-20118-83259,GOTHAM SQUARE 24,8586 PINE PL,,GOTHAM,VA,20118,USA,38.901721,-77.343039,rooftop,141688,8,47900,GOTHAM - WEST END,multifamily,mid-rise,B,existing,2023,2025,1,9,284,281052,243104,856,14.24,419,1.47,4,,,,PUD,COMMERCIAL MIXED USE,0.2PCT,tenant,tenant,owner,rubs,owner,80,none,ATLANTIC PARTNERS,REIT,Parker Cooper,703-686-8373,parker.cooper@gothamre.com,https://atlantic-apts.example.com/24,61340546,8/31/25,9201082,52139464,2025,GP-869-359249,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000025,GOTHAM-20108-54020,GOTHAM FLATS 25,4643 BROOK TER,,GOTHAM,VA,20108,USA,38.918629,-77.200292,rooftop,170898,2,47900,GOTHAM - RIVER NORTH,multifamily,high-rise,A,existing,2025,,1,25,171,154487,149112,872,7.01,81,0.47,3,,,,RMF-2,RESIDENTIAL MIXED-USE,X,tenant,owner,rubs,owner,rubs,80,none,CAPITAL REALTY,REIT,Reese Dawson,703-419-2052,reese.dawson@cityaptco.com,https://capital-apts.example.com/25,62255525,8/31/25,9338329,52917196,2025,GP-517-446954,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000026,GOTHAM-20102-72518,GOTHAM APARTMENTS 26,8990 CEDAR PL,,GOTHAM,VA,20102,USA,38.914861,-77.190592,rooftop,146205,5,47900,GOTHAM - RIVER NORTH,multifamily,high-rise,B,existing,1991,2002,1,14,54,55269,47401,877.8,1.9,66,1.22,2,,,,C-MU,COMMERCIAL MIXED USE,0.2PCT,owner,owner,owner,rubs,tenant,,none,ATLANTIC HOLDINGS,HNW_INDIVIDUAL,Hayden Graham,703-817-4613,hayden.graham@cityaptco.com,https://atlantic-apts.example.com/26,12991322,8/31/25,1948698,11042624,2025,GP-324-386193,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000027,GOTHAM-20113-91560,GOTHAM SQUARE 27,7240 RIVER PL,,GOTHAM,VA,20113,USA,38.881815,-77.207752,rooftop,103634,7,47900,GOTHAM - EAST MARKET,multifamily,senior,B,under_construction,2015,2023,7,3,262,233894,224979,858.7,13.98,141,0.54,2,8/31/23,,,RMF-1,COMMERCIAL MIXED USE,X,tenant,rubs,owner,rubs,rubs,,none,CAPITAL PARTNERS,HNW_INDIVIDUAL,Parker Wright,703-466-7211,parker.wright@gothamre.com,https://capital-apts.example.com/27,33313063,8/31/25,4996959,28316104,2025,GP-316-576786,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000028,GOTHAM-20113-80702,GOTHAM APARTMENTS 28,5455 LAKE DR,,GOTHAM,VA,20113,USA,38.852268,-77.293508,rooftop,145970,4,47900,GOTHAM - SOUTH SIDE,multifamily,high-rise,B,existing,1999,2025,2,12,126,116405,102967,817.2,4.98,82,0.65,3,,,,RMF-1,RESIDENTIAL MULTIFAMILY,X,owner,owner,owner,mixed,rubs,,none,CITYLINE HOLDINGS,HNW_INDIVIDUAL,Shawn Bennett,703-220-3496,shawn.bennett@gothamprops.com,https://cityline-apts.example.com/28,20166414,8/31/25,3024962,17141452,2025,GP-229-596564,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000029,GOTHAM-20109-24168,GOTHAM SQUARE 29,1974 ASH RD,,GOTHAM,VA,20109,USA,38.897938,-77.27278,rooftop,103465,5,47900,GOTHAM - DOWNTOWN,multifamily,high-rise,A,existing,2003,,1,17,192,158861,154234,803.3,4.9,326,1.7,3,,,,PUD,COMMERCIAL MIXED USE,AE,tenant,mixed,rubs,owner,rubs,,none,RIDGEMONT HOLDINGS,PE,Casey Blake,703-806-4978,casey.blake@gothammgmt.com,https://ridgemont-apts.example.com/29,81784604,8/31/25,12267691,69516913,2025,GP-813-910004,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000030,GOTHAM-20102-94874,GOTHAM FLATS 30,5041 VALLEY AVE,,GOTHAM,VA,20102,USA,38.919142,-77.177403,rooftop,101758,7,47900,GOTHAM - RIVER NORTH,multifamily,garden,B,existing,1981,2018,4,2,30,28739,26073,869.1,0.72,45,1.51,0,,,,C-MU,RESIDENTIAL MULTIFAMILY,AE,tenant,owner,owner,owner,tenant,,none,CAPITAL REALTY,HNW_INDIVIDUAL,Jordan Cooper,703-670-3506,jordan.cooper@cityaptco.com,https://capital-apts.example.com/30,5197053,8/31/25,779558,4417495,2025,GP-280-869440,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000031,GOTHAM-20118-21359,GOTHAM FLATS 31,8648 HILL LN,,GOTHAM,VA,20118,USA,38.854403,-77.27495,rooftop,159187,4,47900,GOTHAM - SOUTH SIDE,multifamily,high-rise,D,existing,2013,,1,21,104,85104,82503,793.3,3.18,152,1.46,3,,,,C-MU,COMMERCIAL MIXED USE,AE,rubs,tenant,rubs,rubs,owner,54,silver,ATLANTIC REALTY,HNW_INDIVIDUAL,Logan Morgan,703-386-8988,logan.morgan@gothamprops.com,https://atlantic-apts.example.com/31,7035836,8/31/25,1055375,5980461,2025,GP-463-936587,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000032,GOTHAM-20120-21221,GOTHAM COMMONS 32,4332 PARK DR,,GOTHAM,VA,20120,USA,38.862502,-77.281943,rooftop,194481,7,47900,GOTHAM - SOUTH SIDE,multifamily,mid-rise,B,existing,1975,,2,4,30,28999,24240,808,1.06,47,1.57,3,,,,C-MU,RESIDENTIAL MIXED-USE,0.2PCT,tenant,rubs,owner,rubs,owner,83,certified,RIDGEMONT HOLDINGS,FAMILY_OFFICE,Kendall Reeves,703-658-1282,kendall.reeves@gothammgmt.com,https://ridgemont-apts.example.com/32,4087237,8/31/25,613086,3474151,2025,GP-401-332360,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000033,GOTHAM-20119-53357,GOTHAM FLATS 33,6725 VIRGINIA RD,,GOTHAM,VA,20119,USA,38.875406,-77.208498,rooftop,192224,8,47900,GOTHAM - EAST MARKET,multifamily,garden,B,existing,2025,,9,2,152,119499,114198,751.3,6.76,149,0.98,0,,,,RMU,PLANNED UNIT DEVELOPMENT,AE,owner,rubs,rubs,rubs,owner,60,certified,RIDGEMONT REALTY,DEVELOPER,Drew Ellis,703-523-2958,drew.ellis@gothamprops.com,https://ridgemont-apts.example.com/33,22062476,8/31/25,3309371,18753105,2025,GP-296-326895,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000034,GOTHAM-20119-48829,GOTHAM COMMONS 34,8033 STONE LN,,GOTHAM,VA,20119,USA,38.927553,-77.28112,rooftop,147401,3,47900,GOTHAM - MIDTOWN,multifamily,garden,B,existing,2006,,9,3,180,173315,163728,909.6,5.15,173,0.96,0,,,,RMU,RESIDENTIAL MULTIFAMILY,0.2PCT,tenant,tenant,owner,rubs,tenant,,none,RIDGEMONT REALTY,DEVELOPER,Morgan Reeves,703-255-5786,morgan.reeves@gothamprops.com,https://ridgemont-apts.example.com/34,28582377,8/31/25,4287357,24295020,2025,GP-753-889359,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000035,GOTHAM-20119-43092,GOTHAM TOWERS 35,8142 RIVER AVE,,GOTHAM,VA,20119,USA,38.913018,-77.224613,rooftop,115053,2,47900,GOTHAM - DOWNTOWN,multifamily,garden,A,existing,2010,2016,6,3,30,28814,25572,852.4,1.02,56,1.87,0,,,,C-MU,COMMERCIAL MIXED USE,X,tenant,owner,owner,owner,owner,,none,ATLANTIC REALTY,HNW_INDIVIDUAL,Casey Harper,703-355-3444,casey.harper@gothamre.com,https://atlantic-apts.example.com/35,9341342,8/31/25,1401201,7940141,2025,GP-187-360247,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000036,GOTHAM-20114-48974,GOTHAM SQUARE 36,2040 LAKE TER,,GOTHAM,VA,20114,USA,38.852817,-77.280941,rooftop,156307,5,47900,GOTHAM - SOUTH SIDE,multifamily,garden,A,existing,1999,,6,4,154,135971,127081,825.2,6.71,116,0.75,0,,,,PUD,RESIDENTIAL MULTIFAMILY,0.2PCT,tenant,owner,rubs,owner,owner,,none,GVA PROPERTIES,DEVELOPER,Parker Keller,703-981-4404,parker.keller@gothamprops.com,https://gva-apts.example.com/36,31783768,8/31/25,4767565,27016203,2025,GP-370-792509,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
PROP-000037,GOTHAM-20106-71592,GOTHAM FLATS 37,1430 HARBOR BLVD,,GOTHAM,VA,20106,USA,38.899672,-77.255434,rooftop,104378,4,47900,GOTHAM - DOWNTOWN,multifamily,mid-rise,A,existing,2025,,1,4,30,25864,22788,759.6,1.19,34,1.14,1,,,,RMU,PLANNED UNIT DEVELOPMENT,0.2PCT,tenant,owner,owner,owner,owner,,none,GOTHAM PROPERTIES,PE,Parker Hendrix,703-439-5334,parker.hendrix@gothamprops.com,https://gotham-apts.example.com/37,10562131,8/31/25,1584320,8977811,2025,GP-535-220351,GOTHAM_SYNTHETIC,8/31/25,2025-09-27T18:57:54,passed,SYNTHETIC DATASET – GOTHAM
